country,date,total_vaccinations,fully_vaccinated,daily_vaccinations,vaccines
Algeria,2021-01-29,0,,,Sputnik V
Algeria,2021-01-30,30,,30,Sputnik V
Argentina,2020-12-29,700,,,Sputnik V
Argentina,2020-12-30,,,15656,Sputnik V
Argentina,2020-12-31,32013,,15656,Sputnik V
Argentina,2021-01-01,,,11070,Sputnik V
Argentina,2021-01-02,,,8776,Sputnik V
Argentina,2021-01-03,,,7400,Sputnik V
Argentina,2021-01-04,39599,,6483,Sputnik V
Argentina,2021-01-05,,,7984,Sputnik V
Argentina,2021-01-06,,,8173,Sputnik V
Argentina,2021-01-07,,,8363,Sputnik V
Argentina,2021-01-08,107542,,10519,Sputnik V
Argentina,2021-01-09,,,11942,Sputnik V
Argentina,2021-01-10,,,13365,Sputnik V
Argentina,2021-01-11,,,14788,Sputnik V
Argentina,2021-01-12,,,14056,Sputnik V
Argentina,2021-01-13,166833,,13323,Sputnik V
Argentina,2021-01-14,,,13320,Sputnik V
Argentina,2021-01-15,200759,,13317,Sputnik V
Argentina,2021-01-16,,,12971,Sputnik V
Argentina,2021-01-17,,,12624,Sputnik V
Argentina,2021-01-18,,,12278,Sputnik V
Argentina,2021-01-19,,,11932,Sputnik V
Argentina,2021-01-20,247933,4394,11586,Sputnik V
Argentina,2021-01-21,265724,16352,11704,Sputnik V
Argentina,2021-01-22,279602,25146,11263,Sputnik V
Argentina,2021-01-23,288064,29188,11124,Sputnik V
Argentina,2021-01-24,292023,31987,10342,Sputnik V
Argentina,2021-01-25,292386,32264,9046,Sputnik V
Argentina,2021-01-26,305880,38911,9626,Sputnik V
Argentina,2021-01-27,318033,45710,10014,Sputnik V
Argentina,2021-01-28,327999,51451,8896,Sputnik V
Argentina,2021-01-29,344034,65583,9205,Sputnik V
Argentina,2021-01-30,366384,85361,11189,Sputnik V
Austria,2021-01-10,6784,,,Pfizer/BioNTech
Austria,2021-01-11,11559,,4775,Pfizer/BioNTech
Austria,2021-01-12,13172,,3194,Pfizer/BioNTech
Austria,2021-01-13,20064,,4427,Pfizer/BioNTech
Austria,2021-01-14,29359,,5644,Pfizer/BioNTech
Austria,2021-01-15,39751,,6593,Pfizer/BioNTech
Austria,2021-01-16,50402,,7270,Pfizer/BioNTech
Austria,2021-01-17,55450,,6952,Pfizer/BioNTech
Austria,2021-01-18,61012,304,7065,Pfizer/BioNTech
Austria,2021-01-19,71508,1034,8334,Pfizer/BioNTech
Austria,2021-01-20,88895,2007,9833,Pfizer/BioNTech
Austria,2021-01-21,108252,3214,11270,Pfizer/BioNTech
Austria,2021-01-22,124756,3540,12144,Pfizer/BioNTech
Austria,2021-01-23,136348,4243,12278,Pfizer/BioNTech
Austria,2021-01-24,139538,4289,12013,Pfizer/BioNTech
Austria,2021-01-25,141350,4306,11477,Pfizer/BioNTech
Austria,2021-01-26,150933,4346,11346,Pfizer/BioNTech
Austria,2021-01-27,158985,5126,10013,Pfizer/BioNTech
